catalog_id,main_id,ra,dec,pmra,pmdec,plx_value,plx_err,otype,sp_type,rvz_radvel,rvz_err,v_mag,common_name
HD   3969,M  31,10.684708333333331,41.26875,,,,,AGN,,-300.0,4.0,3.44,NAME Andromeda Nebula
HD  39801,* alf Ori,88.79293899077537,7.407063995272694,27.54,11.3,6.55,0.83,s*r,M1-M2Ia-Iab,21.91,0.51,0.42,NAME Betelgeuse
HD  44743,* bet CMa,95.67493896958332,-17.955918708888888,-3.23,-0.78,6.62,0.22,bC*,B1II-III,33.7,0.5,1.97,NAME Mirzam
HD 164058,* gam Dra,269.1515411786243,51.48889561763423,-8.48,-22.79,21.14,0.1,*,K5III,-27.91,0.19,2.23,NAME Eltanin
HD  28319,* tet02 Tau,67.16559004644,15.870874649550002,106.148,-20.294,21.8125,0.3735,dS*,A7III,38.9,0.2,3.41,
HD  30652,* pi.03 Ori,72.46004668811875,6.961277950629445,463.954,11.937,124.6198,0.2246,PM*,F6V,22.47,0.52,3.19,NAME Tabit
HD 198149,* eta Cep,311.3223965313,61.838781731080005,85.993,818.451,69.5976,0.1279,PM*,K0IV,-87.407,0.0002,3.41,
HD 103287,* gam UMa,178.45769715249995,53.69475972916666,107.68,11.01,39.21,0.4,Em*,A0V,-11.9,0.7,2.44,NAME Phecda
HD 106591,* del UMa,183.85649936126703,57.03261697773611,103.947,8.141,40.3279,0.1945,PM*,A2Vn,-12.39,0.79,3.32,NAME Megrez
HD 140573,* alf Ser,236.0669754565879,6.425630220244722,133.922,45.55,43.945,0.4676,PM*,K2IIIbCN1,2.63,0.16,2.63,NAME Unukalhai
HD 121370,* eta Boo,208.67116216800864,18.397720717229475,-60.95,-356.29,87.75,1.24,SB*,G0IV,5.77111,0.007471,2.68,NAME Muphrid
HD 161096,* bet Oph,265.86813295741786,4.567303668469166,-41.793,159.43,39.2284,0.2027,PM*,K2IIICN0.5,-12.12,0.0008,2.75,NAME Cebalrai
HD 176437,* gam Lyr,284.73592734438125,32.68955574065722,-2.98,1.689,4.9656,0.2366,*,B9.5II-III,-31.2,0.2,3.25,NAME Sulafat
HD 197989,* eps Cyg,311.55280115351087,33.97032834364584,365.954,308.787,43.1769,0.9384,**,K0III,-12.599,0.0011,2.48,
HD 203280,* alf Cep,319.6448846972256,62.5855744637194,150.55,49.09,66.5,0.11,PM*,A8Vn,-15.8,1.1,2.46,NAME Alderamin
HD  66811,* zet Pup,120.89603140977576,-40.00314779826893,-29.71,16.68,3.01,0.1,BY*,O4I(n)fp,-23.9,2.9,2.25,NAME Naos
HD  86440,* phi Vel,149.21558687068125,-54.567788190034165,-13.378,4.11,1.903,0.183,*,B5Ib,13.9,0.7,3.45,
HD 214923,*  42 Peg,340.36550299,10.831363310277778,77.22,-11.38,15.96,0.19,PM*,B8.5IV,9.23,0.38,3.41,NAME Homam
HD  34029,* alf Aur,79.17232794433404,45.99799146983673,75.25,-426.89,76.2,0.46,SB*,G3III:,29.19,0.07,0.08,NAME Capella
HD  48915A,* alf CMa,101.28715533333336,-16.71611586111111,-546.01,-1223.07,379.21,1.58,SB*,A0mA1Va,-5.5,0.4,-1.46,NAME Sirius A
HD  48915A,* alf CMa,101.28715533333336,-16.71611586111111,-546.01,-1223.07,379.21,1.58,SB*,A0mA1Va,-5.5,0.4,-1.46,NAME Sirius
HD  48915,* alf CMa,101.28715533333336,-16.71611586111111,-546.01,-1223.07,379.21,1.58,SB*,A0mA1Va,-5.5,0.4,-1.46,NAME Sirius A
HD  48915,* alf CMa,101.28715533333336,-16.71611586111111,-546.01,-1223.07,379.21,1.58,SB*,A0mA1Va,-5.5,0.4,-1.46,NAME Sirius
HD   8890,* alf UMi,37.954560670189856,89.26410896994187,44.48,-11.85,7.54,0.11,cC*,F8Ib,-16.42,0.03,2.02,NAME Lodestar
HD   8890,* alf UMi,37.954560670189856,89.26410896994187,44.48,-11.85,7.54,0.11,cC*,F8Ib,-16.42,0.03,2.02,NAME Polaris
HD   8890,* alf UMi,37.954560670189856,89.26410896994187,44.48,-11.85,7.54,0.11,cC*,F8Ib,-16.42,0.03,2.02,NAME North Star
HD   3712,* alf Cas,10.126846007691247,56.537329217042775,49.126,-31.595,14.091,0.4988,PM*,K0-IIIa,-4.204,0.0006,2.23,NAME Schedar
HD  11636,* bet Ari,28.66004578884514,20.808031471916408,98.74,-110.41,55.6,0.58,SB*,kA4hA5mA5Va,-3.1,0.15,2.65,NAME Sheratan
HD  10700,* tau Cet,26.01701307163417,-15.93747989102139,-1721.728,854.963,273.8097,0.1701,PM*,G8V,-16.597,0.0002,3.5,
HD   3627,* del And,9.831679638429584,30.86098357599195,176.856,-108.171,31.5735,0.4546,SB*,K3III-IIIbCN0.5,-9.88,0.15,3.28,
HD  19356,* bet Per,47.04221855625,40.95564667027778,2.99,-1.66,36.27,1.4,SB*,B8V,4.0,0.9,2.12,NAME Algol
